222014	   43.8	  205.9	  578.0	...
222015	   43.7	  206.1	  578.0	...
222016	   43.5	  206.3	  578.0	...
222017	   43.2	  207.3	  577.0	...
222018	   43.3	  209.1	  576.0	...
222019	   43.6	  211.0	  576.0	...
222020	   44.1	  210.6	  575.0	...
222021	   44.1	  209.6	  576.0	...
222022	   44.3	  208.4	  576.0	...
222023	   44.8	  208.3	  577.0	...
222024	   45.2	  208.2	  577.0	...
222025	   45.5	  208.3	  577.0	...
222026	   45.7	  208.2	  577.0	...
222027	   46.1	  208.1	  576.0	...
222028	   46.6	  208.0	  577.0	...
222029	   46.7	  208.4	  577.0	...
222030	   46.6	  208.9	  577.0	...
222031	   46.8	  209.5	  577.0	...
222032	   47.3	  209.6	  577.0	...
222033	   47.8	  209.5	  578.0	...
222034	   47.5	  209.1	  579.0	...
222035	   46.9	  208.9	  580.0	...
222036	   47.3	  209.1	  580.0	...
222037	   48.3	  209.3	  581.0	...
222038	   48.2	  209.0	  581.0	...
222039	   47.1	  208.7	  581.0	...
222040	   45.9	  208.4	  580.0	...
222041	   45.8	  208.4	  580.0	...
222042	   45.6	  208.3	  580.0	...
222043	   45.4	  208.6	  579.0	...
222044	   45.1	  209.1	  578.0	...
222045	   45.0	  209.7	  577.0	...
222046	   45.1	  209.8	  577.0	...
222047	   45.4	  209.6	  577.0	...
222048	   45.6	  209.3	  577.0	...
222049	   45.8	  208.9	  577.0	...
222050	   45.1	  208.7	  577.0	...
222051	   44.3	  208.7	  577.0	...
222052	   44.3	  208.9	  578.0	...
222053	   45.1	  208.6	  579.0	...
222054	   46.0	  208.2	  579.0	...
222055	   46.2	  207.7	  579.0	...
222056	   46.3	  207.6	  579.0	...
222057	   46.4	  207.4	  579.0	...
222058	   46.5	  207.3	  579.0	...
222059	   46.5	  207.7	  579.0	...
222060	   46.4	  208.1	  579.0	...
222061	   46.4	  207.8	  579.0	...
222062	   46.8	  207.0	  580.0	...
222063	   47.4	  205.0	  581.0	...
222064	   47.7	  203.8	  579.0	...
222065	   47.7	  204.5	  578.0	...
222066	   47.7	  206.5	  576.0	...
222067	   47.5	  208.2	  575.0	...
222068	   47.4	  207.9	  575.0	...
222069	   46.7	  207.3	  575.0	...
222070	   46.3	  206.9	  575.0	...
222071	   45.8	  207.2	  576.0	...
222072	   45.6	  207.7	  578.0	...
222073	   45.3	  208.2	  580.0	...
222074	   45.1	  208.1	  580.0	...
222075	   45.5	  208.3	  580.0	...
222076	   45.7	  208.7	  579.0	...
